id,text,is_ambiguous,ambiguity_type,ambiguous_words,source
239,"Any group call controller who wishes to stop talking shall indicate his wish, for example by releasing the PTT button, whereupon the 3-digit DTMF sequence ""#**"" shall be transferred.",False,none,,ReqEval_NLP4RE_2020
240,"All Train Function Numbers and their associated MSISDN numbers shall be stored in the same routing database, which is the database of the GSM-R network in which the train is currently operating.",False,none,,ReqEval_NLP4RE_2020
241,"If functional numbers are to be used outside the EIRENE network, they will require either a public number allocation or, alternatively, an EIRENE Network Access Number (ENAN) may be used as described in 9.11 9.3.3 Each national railway should obtain a public numbering allocation for MSISDN numbers from the relevant regulatory bodies.",False,none,,ReqEval_NLP4RE_2020
242,It is the responsibility of each individual GSM-R operator to acquire a public domain NDC from their national telecommunications regulator.,True,referential,,ReqEval_NLP4RE_2020
243,It is the responsibility of each individual GSM-R operator to acquire a public domain NDC from their national telecommunications regulator.,False,none,,ReqEval_NLP4RE_2020
244,Mobiles shall be capable of operation using algorithms for all countries in which they need to roam.,True,referential,,ReqEval_NLP4RE_2020
245,"Functional numbering provides the mechanism by which a mobile terminal, or an item of equipment connected to a mobile terminal, can be addressed by a number identifying the function for which it is being used.",True,referential,,ReqEval_NLP4RE_2020
246,"For international Railway emergency calls, in order to minimise call set-up times, it is recommended that the anchor MSC always directly controls the cell where the Railway emergency call was originated.",True,referential,,ReqEval_NLP4RE_2020
247,Each mobile shall store a list of emergency Group IDs in the SIM appropriate to its function (the Cab radio will store Group ID 299 and 599 - see table 9-8).,True,referential,,ReqEval_NLP4RE_2020
248,"For post-incident analysis it is important that the initiation and receipt of Railway emergency calls by mobiles is confirmed by a message sent to a ground-based location (and also registered in the train borne recorder, in cases where a train borne recorder is connected to the Cab radio).",True,referential,,ReqEval_NLP4RE_2020
249,The common shunting group provides a point of contact for leaders and team members to set up a dedicated shunting group call for their shunting operation.,True,referential,,ReqEval_NLP4RE_2020
250,"The terminal application shall prevent members of a dedicated shunting team from initiating a new call (unless they are registered as shunting team leader and have left shunting mode using the ""maintain group call"" function described in 14.2.4).",False,none,,ReqEval_NLP4RE_2020
251,Users shall be prevented from joining a dedicated shunting group by the EIRENE terminal application unless a valid functional number for the group has been successfully registered to the GSM-R network by their terminal.,False,none,,ReqEval_NLP4RE_2020
252,"If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.",False,none,,ReqEval_NLP4RE_2020
253,"When memory alignment is permitted, Redundancy Management attempts to reintegrate a processor with the other members of its original FCP virtual group by commanding the affected FCP virtual group to perform re-synchronization operations.",True,referential,,ReqEval_NLP4RE_2020
254,Network Element FTSS CSCIIBNF time-out Indicates that the members of the destination virtual group corresponding to the set bits did not free enough space in their input buffers to hold the incoming packet within the allowable time skew.,True,referential,,ReqEval_NLP4RE_2020
255,The FTSS shall provide an API call to allow the ICP application to determine on which channel it resides.,True,referential,,ReqEval_NLP4RE_2020
256,The FTPP shall recover from a babbling NE or ICP within 40 milliseconds after it is detected.,True,referential,,ReqEval_NLP4RE_2020
257,It shall be possible to modify the CT whenever any of this information is changed by using a CT update primitive in a synchronous and atomic manner.,False,none,,ReqEval_NLP4RE_2020
258,"When a majority, but not a unanimity, of FCP members are observed with packets in their output buffers, a time-out shall (3.2.2.6.7) be initiated.",True,referential,,ReqEval_NLP4RE_2020
259,"When the timestamp counter reaches the maximum value (Hex FFFFFFFF or approximately 5500 seconds), it shall (3.2.2.7.6) wrap around to zero.",False,none,,ReqEval_NLP4RE_2020
260,The Start-Up shall synchronize its FCP with other operational FCPs.,False,none,,ReqEval_NLP4RE_2020
261,"The Scheduler shall detect 50 Hz, 10 Hz, and 1 Hz frame overruns at the next frame following the end of their respective rate boundaries.",True,referential,,ReqEval_NLP4RE_2020
262,The FTSS shall wait for the ICP to signal that it has completed initialization before suspending the application for memory re-alignment.,True,referential,,ReqEval_NLP4RE_2020
